"","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio"
"37",37,"Oshawa",76775,49590,54010,58010,55015,55490,62515,411405,38,54000,4500,37,15665,22712.5,13537.5,13850,8757.5,37,26602.5,17255,9657.5,2662.5,15665,2677.5,37,52945,525,21055,16042.5,3307.5,1700,37,1577.62279255599,37,75410,36015,111425,37,48610,3962.5,7877.5,2630,5600,5705,132.5,74525,0.35058284279022
"38",38,"Ottawa",186910,141735,155870,149060,147520,152835,182865,1116800,39,57200,4766.66666666667,38,63227.5,76905,34467.5,33110,19080,38,66075,59785,22427.5,3552.5,63227.5,11715,38,159640,5275,61875,42962.5,11395,7515,38,1491.08963675269,38,179600,117455,297050,38,102255,12092.5,45127.5,4115,23752.5,38582.5,865,226787.5,0.312816007710355
"39",39,"Owen Sound",4660,3170,3610,3595,3505,5280,8060,31870,40,38800,3233.33333333333,39,2330,2770,917.5,760,417.5,39,1552.5,2285,722.5,87.5,2330,220,39,6572.5,12.5,610,520,45,40,39,1084.89119811429,39,5120,4630,9750,39,4617.5,245,360,125,1382.5,365,100,7192.5,0.335533360241533
"40",40,"Pembroke",3565,2385,2910,2725,2630,3740,5125,23085,41,40800,3400,40,1612.5,1922.5,745,532.5,315,40,1135,1537.5,600,62.5,1612.5,182.5,40,4852.5,5,270,232.5,22.5,15,40,1068.61571845515,40,3860,3110,6970,40,3620,280,175,110,922.5,0,22.5,5130,0.314298740722103
"41",41,"Petawawa",3925,1880,3765,2680,1730,1610,1715,17295,42,74500,6208.33333333333,41,777.5,1180,577.5,570,272.5,41,1170,937.5,272.5,35,777.5,187.5,41,3130,15,235,162.5,57.5,12.5,41,1203.36643407971,41,2970,1360,4335,41,2380,250,400,20,317.5,0,10,3380,0.193830835019551
"42",42,"Peterborough",18900,14205,15945,14595,13885,19005,29455,125995,43,45200,3766.66666666667,42,7597.5,9965,3872.5,3265,1957.5,42,6382.5,8035,2790,492.5,7597.5,1362.5,42,23605,230,2817.5,2370,285,162.5,42,1261.0716030573,42,19865,16700,36565,42,18427.5,422.5,1622.5,1355,3387.5,1297.5,137.5,26652.5,0.334797770723177
"43",43,"Port Hope",2210,1535,1875,1860,1965,2925,4510,16890,44,42800,3566.66666666667,43,985,1495,550,420,210,43,867.5,1245,387.5,70,985,105,43,3155,5,497.5,472.5,15,5,43,1312.29556401927,43,3180,2475,5650,43,2642.5,137.5,212.5,40,395,222.5,0,3657.5,0.367933335706337
"44",44,"Prince Edward County CY",2965,1770,2155,2495,2720,4815,8275,25190,45,48400,4033.33333333333,44,1535,2625,682.5,537.5,285,44,1152.5,2375,365,85,1535,155,44,4975,10,682.5,635,25,22.5,44,1174.88433029602,44,4100,4870,8975,44,4867.5,120,175,15,395,5,85,5665,0.291293635610583
"45",45,"Sarnia",14835,9970,11850,11100,10930,14970,22625,96285,46,45600,3800,45,6577.5,8062.5,2855,2447.5,1285,45,4985,6592.5,2145,187.5,6577.5,742.5,45,18302.5,185,2740,2395,227.5,122.5,45,1102.28192849789,45,15885,14335,30220,45,15427.5,690,1062.5,387.5,1597.5,1997.5,65,21227.5,0.290074191709971
"46",46,"Saugeen Shores T",2530,1215,2000,1945,1515,2490,3950,15640,47,48800,4066.66666666667,46,1002.5,1412.5,430,417.5,195,46,862.5,1245,242.5,25,1002.5,75,46,2972.5,12.5,465,370,52.5,37.5,46,1328.17512272219,46,2940,2565,5510,46,2582.5,170,235,22.5,405,0,37.5,3452.5,0.326600440013653
